N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.8,82.0,6.5,202.9,rice
85,58,41,21.8,80.3,7.0,226.7,rice
60,55,44,23.0,82.3,7.4,263.9,rice
74,35,40,26.5,80.1,6.0,242.9,rice
78,42,42,20.4,81.6,7.0,262.7,rice
69,37,42,23.2,83.5,6.5,251.5,rice
80,40,38,24.1,82.0,6.8,245.2,rice
95,45,50,22.3,84.2,6.3,268.4,rice
88,52,46,21.0,83.8,7.2,255.1,rice
82,48,39,25.6,81.4,6.6,248.8,rice
100,40,40,21.7,80.9,7.1,258.3,maize
85,55,42,23.4,78.5,6.8,189.7,maize
70,45,50,22.1,76.3,7.3,195.4,maize
95,50,38,24.8,77.1,6.5,201.3,maize
78,60,45,21.3,79.8,7.0,187.2,maize
90,48,52,23.9,75.6,6.9,198.6,maize
88,42,48,22.6,78.9,7.2,192.1,maize
75,58,40,24.2,76.7,6.7,205.8,maize
92,53,44,21.9,79.2,7.1,188.9,maize
80,46,49,23.5,77.4,6.6,196.4,maize
40,67,69,15.6,71.8,7.2,65.8,chickpea
45,70,72,16.3,70.2,6.9,72.4,chickpea
38,75,68,14.8,69.5,7.5,68.1,chickpea
42,62,74,17.1,72.3,7.0,59.7,chickpea
50,68,70,15.2,68.9,7.3,63.5,chickpea
35,72,66,16.8,71.1,6.8,71.8,chickpea
48,65,73,14.5,70.6,7.4,66.2,chickpea
44,69,71,16.5,69.8,7.1,64.9,chickpea
41,74,67,15.9,72.5,6.7,70.3,chickpea
47,63,75,17.3,71.4,7.2,62.1,chickpea
19,142,43,21.9,90.0,6.5,199.8,kidneybeans
22,138,48,23.2,88.5,7.0,215.3,kidneybeans
17,145,41,20.6,92.1,6.8,208.6,kidneybeans
25,140,46,22.8,89.3,7.2,196.4,kidneybeans
21,135,44,21.3,91.5,6.6,203.7,kidneybeans
18,148,49,23.7,87.8,7.1,219.2,kidneybeans
24,132,42,20.9,90.6,6.9,201.5,kidneybeans
20,144,47,22.4,89.9,6.7,211.8,kidneybeans
23,137,45,21.6,91.2,7.3,206.3,kidneybeans
16,150,40,23.0,88.1,6.5,213.9,kidneybeans
18,134,70,24.1,61.5,5.6,66.5,pigeonpeas
22,130,68,25.6,59.8,6.0,71.3,pigeonpeas
15,138,72,23.3,63.2,5.8,64.8,pigeonpeas
25,128,65,26.2,58.4,6.2,74.1,pigeonpeas
20,142,74,24.8,60.7,5.5,68.9,pigeonpeas
17,136,69,25.1,62.1,5.9,69.7,pigeonpeas
24,125,71,23.7,61.9,6.1,72.5,pigeonpeas
19,140,67,26.5,59.3,5.7,65.2,pigeonpeas
21,132,73,24.5,60.2,6.3,70.8,pigeonpeas
16,144,66,25.9,61.0,5.4,67.4,pigeonpeas
20,80,50,25.6,75.5,6.2,55.9,mothbeans
25,75,48,27.1,73.8,6.5,62.4,mothbeans
18,85,52,24.3,77.2,5.9,58.1,mothbeans
28,72,46,26.8,74.6,6.3,60.7,mothbeans
22,78,54,25.2,76.1,6.1,56.3,mothbeans
17,82,49,27.5,72.9,6.4,63.5,mothbeans
26,76,51,24.9,75.8,6.0,59.6,mothbeans
21,84,47,26.2,73.4,6.6,61.8,mothbeans
19,79,53,25.8,76.7,5.8,57.2,mothbeans
24,81,50,27.3,74.1,6.2,64.1,mothbeans
23,85,60,18.9,74.2,6.8,48.7,mungbean
28,80,58,20.4,72.6,7.1,53.2,mungbean
20,90,62,17.6,76.1,6.5,46.9,mungbean
