Scheme_Name,Description_EN,Description_HI,Benefits_EN,Benefits_HI,Eligibility_EN,Eligibility_HI,How_To_Apply_EN,How_To_Apply_HI,Ministry,Launch_Year,Category,Official_Website
PM-KISAN,Pradhan Mantri Kisan Samman Nidhi provides direct income support to all landholding farmers,प्रधानमंत्री किसान सम्मान निधि सभी भूमिधारक किसानों को प्रत्यक्ष आय सहायता प्रदान करती है,₹6000 per year in 3 equal installments of ₹2000 each,प्रति वर्ष ₹6000 तीन समान किस्तों में ₹2000 प्रत्येक,All landholding farmers irrespective of size of holdings,सभी भूमिधारक किसान चाहे जोत का आकार कुछ भी हो,Apply online at PM-KISAN portal or through Common Service Centers,PM-KISAN पोर्टल या कॉमन सर्विस सेंटर के माध्यम से ऑनलाइन आवेदन करें,Ministry of Agriculture,2019,Financial Support,https://pmkisan.gov.in
Kisan Credit Card,Provides short-term credit to farmers for cultivation and post-harvest expenses,किसानों को खेती और कटाई के बाद के खर्चों के लिए अल्पकालिक ऋण प्रदान करता है,Easy loans at low interest rates with flexible repayment,कम ब्याज दरों पर आसान ऋण लचीले पुनर्भुगतान के साथ,All farmers including tenant farmers and sharecroppers,सभी किसान जिनमें किरायेदार किसान और बटाईदार शामिल हैं,Apply at any bank or online through bank websites,किसी भी बैंक में या बैंक की वेबसाइट के माध्यम से ऑनलाइन आवेदन करें,Ministry of Agriculture,1998,Credit,https://pmkisan.gov.in/KCC.aspx
PMFBY,Pradhan Mantri Fasal Bima Yojana provides crop insurance against natural calamities,प्रधानमंत्री फसल बीमा योजना प्राकृतिक आपदाओं के खिलाफ फसल बीमा प्रदान करती है,Insurance coverage for crop loss due to natural disasters,प्राकृतिक आपदाओं से फसल नुकसान के लिए बीमा कवरेज,All farmers growing notified crops,सभी किसान जो अधिसूचित फसलें उगाते हैं,Apply through banks CSCs or online portal during enrollment period,नामांकन अवधि के दौरान बैंकों CSCs या ऑनलाइन पोर्टल के माध्यम से आवेदन करें,Ministry of Agriculture,2016,Insurance,https://pmfby.gov.in
PM Kusum Yojana,Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan for solar pumps,प्रधानमंत्री किसान ऊर्जा सुरक्षा एवं उत्थान महाभियान सौर पंपों के लिए,Subsidy on solar pumps and panels for irrigation,सिंचाई के लिए सौर पंप और पैनल पर सब्सिडी,All farmers with agricultural land,कृषि भूमि वाले सभी किसान,Apply through state nodal agencies or online portal,राज्य नोडल एजेंसियों या ऑनलाइन पोर्टल के माध्यम से आवेदन करें,Ministry of New & Renewable Energy,2019,Subsidy,https://pmkusum.mnre.gov.in
Soil Health Card Scheme,Provides soil testing and health cards to farmers every 2 years,हर 2 साल में किसानों को मिट्टी परीक्षण और स्वास्थ्य कार्ड प्रदान करता है,Free soil testing and recommendations for fertilizers,मुफ्त मिट्टी परीक्षण और उर्वरकों के लिए सिफारिशें,All farmers can get their soil tested,सभी किसान अपनी मिट्टी का परीक्षण करवा सकते हैं,Contact local agriculture department or soil testing labs,स्थानीय कृषि विभाग या मिट्टी परीक्षण प्रयोगशालाओं से संपर्क करें,Ministry of Agriculture,2015,Technical Support,https://soilhealth.dac.gov.in
Paramparagat Krishi Vikas Yojana,Promotes organic farming through cluster approach and PGS certification,क्लस्टर दृष्टिकोण और PGS प्रमाणन के माध्यम से जैविक खेती को बढ़ावा देता है,₹50000 per hectare for 3 years for organic farming adoption,जैविक खेती अपनाने के लिए 3 वर्षों के लिए प्रति हेक्टेयर ₹50000,Farmers willing to adopt organic farming practices,जैविक खेती प्रथाओं को अपनाने के इच्छुक किसान,Apply through state agriculture departments,राज्य कृषि विभागों के माध्यम से आवेदन करें,Ministry of Agriculture,2015,Subsidy,https://pgsindia-ncof.gov.in
National Mission on Edible Oils,Aims to increase domestic production of edible oils and reduce imports,खाद्य तेलों के घरेलू उत्पादन को बढ़ाने और आयात को कम करने का लक्ष्य,Financial assistance for cultivation of oilseed crops,तिलहन फसलों की खेती के लिए वित्तीय सहायता,Farmers growing oilseed crops like palm mustard soybean,ताड़ सरसों सोयाबीन जैसी तिलहन फसलें उगाने वाले किसान,Contact state agriculture departments for enrollment,नामांकन के लिए राज्य कृषि विभागों से संपर्क करें,Ministry of Agriculture,2021,Production Support,https://agricoop.gov.in
Rashtriya Krishi Vikas Yojana,State Plan Scheme for agriculture and allied sectors development,कृषि और संबद्ध क्षेत्रों के विकास के लिए राज्य योजना,Flexible funding for agriculture infrastructure and development,कृषि बुनियादी ढांचे और विकास के लिए लचीला वित्तपोषण,Projects selected by state governments for funding,राज्य सरकारों द्वारा चयनित परियोजनाओं के लिए,Implemented by state agriculture departments,राज्य कृषि विभागों द्वारा कार्यान्वित,Ministry of Agriculture,2007,Infrastructure,https://rkvy.nic.in
National Horticulture Mission,Promotes holistic growth of horticulture sector,बागवानी क्षेत्र के समग्र विकास को बढ़ावा देता है,Subsidy on planting material irrigation and protected cultivation,रोपण सामग्री सिंचाई और संरक्षित खेती पर सब्सिडी,Farmers growing fruits vegetables flowers spices,फल सब्जियां फूल मसाले उगाने वाले किसान,Apply through state horticulture departments,राज्य बागवानी विभागों के माध्यम से आवेदन करें,Ministry of Agriculture,2005,Subsidy,https://midh.gov.in
Pradhan Mantri Krishi Sinchayee Yojana,Aims to expand cultivated area under irrigation and improve water use efficiency,सिंचाई के तहत खेती वाले क्षेत्र का विस्तार और जल उपयोग दक्षता में सुधार करना है,Subsidy on micro-irrigation drip and sprinkler systems,सूक्ष्म सिंचाई ड्रिप और स्प्रिंकलर प्रणालियों पर सब्सिडी,All farmers with agricultural land,कृषि भूमि वाले सभी किसान,Apply through state agriculture or irrigation departments,राज्य कृषि या सिंचाई विभागों के माध्यम से आवेदन करें,Ministry of Agriculture,2015,Irrigation,https://pmksy.gov.in
