Temperature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Phosphorous,Potassium,Fertilizer
26,52,38,Sandy,Maize,37,0,0,Urea
29,55,42,Loamy,Sugarcane,15,5,5,DAP
32,48,35,Black,Cotton,20,10,8,14-35-14
22,65,45,Clayey,Rice,28,12,10,28-28
35,40,30,Red,Groundnut,10,25,15,10-26-26
24,58,40,Sandy,Wheat,25,8,6,Urea
27,50,36,Loamy,Maize,35,2,2,Urea
30,60,48,Black,Sugarcane,18,8,8,17-17-17
19,70,50,Clayey,Rice,30,15,12,28-28
33,45,32,Red,Cotton,22,12,10,20-20
28,54,39,Sandy,Groundnut,12,28,18,10-26-26
25,62,44,Loamy,Wheat,28,10,8,Urea
31,48,34,Black,Maize,38,4,3,Urea
23,68,49,Clayey,Sugarcane,20,10,10,17-17-17
36,42,28,Red,Rice,32,18,14,28-28
26,56,41,Sandy,Cotton,24,14,11,20-20
29,52,37,Loamy,Groundnut,14,30,20,10-26-26
21,66,46,Black,Wheat,30,12,9,Urea
34,44,31,Red,Maize,40,5,4,Urea
27,58,43,Clayey,Sugarcane,22,12,11,17-17-17
20,72,52,Sandy,Rice,34,20,16,28-28
32,46,33,Loamy,Cotton,26,16,12,20-20
28,54,38,Black,Groundnut,16,32,22,10-26-26
24,64,47,Red,Wheat,32,14,10,Urea
35,40,29,Clayey,Maize,42,6,5,Urea
26,60,45,Sandy,Sugarcane,24,14,12,17-17-17
30,50,36,Loamy,Rice,36,22,18,28-28
22,68,50,Black,Cotton,28,18,14,20-20
33,43,30,Red,Groundnut,18,34,24,10-26-26
27,56,40,Clayey,Wheat,34,16,11,Urea
29,52,35,Sandy,Maize,38,3,2,Urea
25,62,44,Loamy,Sugarcane,20,10,9,17-17-17
31,48,32,Black,Rice,32,18,15,28-28
23,66,48,Red,Cotton,26,16,13,20-20
36,41,28,Clayey,Groundnut,14,30,20,10-26-26
28,54,39,Sandy,Wheat,30,12,8,Urea
26,58,42,Loamy,Maize,40,5,4,Urea
30,50,34,Black,Sugarcane,22,12,10,17-17-17
21,70,51,Red,Rice,34,20,17,28-28
34,44,30,Clayey,Cotton,28,18,15,20-20
27,56,38,Sandy,Groundnut,16,32,22,10-26-26
29,52,36,Loamy,Wheat,32,14,10,Urea
24,64,46,Black,Maize,42,6,5,Urea
32,46,31,Red,Sugarcane,24,14,11,17-17-17
26,60,43,Clayey,Rice,36,22,18,28-28
28,54,37,Sandy,Cotton,30,20,16,20-20
22,68,49,Loamy,Groundnut,18,34,24,10-26-26
35,42,29,Black,Wheat,34,16,11,Urea
27,58,40,Red,Maize,40,4,3,Urea
30,50,35,Clayey,Sugarcane,22,12,10,17-17-17
25,62,45,Sandy,Rice,34,20,16,28-28
31,48,33,Loamy,Cotton,28,18,14,20-20
23,66,47,Black,Groundnut,16,32,22,10-26-26
33,44,30,Red,Wheat,32,14,10,Urea
26,60,42,Clayey,Maize,42,6,5,Urea
29,52,36,Sandy,Sugarcane,24,14,12,17-17-17
28,54,39,Loamy,Rice,36,22,18,28-28
24,64,46,Black,Cotton,30,20,16,20-20
32,46,32,Red,Groundnut,18,34,24,10-26-26
27,58,40,Clayey,Wheat,34,16,11,Urea
30,50,35,Sandy,Maize,40,5,4,Urea
22,68,49,Loamy,Sugarcane,22,12,10,17-17-17
35,42,29,Black,Rice,34,20,17,28-28
26,60,43,Red,Cotton,28,18,15,20-20
29,52,37,Clayey,Groundnut,16,32,22,10-26-26
25,62,44,Sandy,Wheat,32,14,10,Urea
31,48,33,Loamy,Maize,42,6,5,Urea
23,66,48,Black,Sugarcane,24,14,12,17-17-17
34,44,30,Red,Rice,36,22,18,28-28
28,54,38,Clayey,Cotton,30,20,16,20-20
27,58,41,Sandy,Groundnut,18,34,24,10-26-26
30,50,36,Loamy,Wheat,34,16,11,Urea
24,64,45,Black,Maize,40,5,4,Urea
32,46,32,Red,Sugarcane,22,12,10,17-17-17
26,60,42,Clayey,Rice,34,20,17,28-28
29,52,37,Sandy,Cotton,28,18,15,20-20
22,68,50,Loamy,Groundnut,16,32,22,10-26-26
35,42,28,Black,Wheat,32,14,10,Urea
27,58,40,Red,Maize,42,6,5,Urea
30,50,35,Clayey,Sugarcane,24,14,12,17-17-17
25,62,45,Sandy,Rice,36,22,18,28-28
31,48,33,Loamy,Cotton,30,20,16,20-20
23,66,47,Black,Groundnut,18,34,24,10-26-26
33,44,30,Red,Wheat,34,16,11,Urea
26,60,42,Clayey,Maize,40,5,4,Urea
28,54,38,Sandy,Sugarcane,22,12,10,17-17-17
24,64,46,Loamy,Rice,34,20,17,28-28
32,46,31,Black,Cotton,28,18,15,20-20
27,58,40,Red,Groundnut,16,32,22,10-26-26
29,52,36,Clayey,Wheat,32,14,10,Urea
30,50,35,Sandy,Maize,42,6,5,Urea
22,68,49,Loamy,Sugarcane,24,14,12,17-17-17
35,42,29,Black,Rice,36,22,18,28-28
