Plant,Disease,Symptoms,Temperature_Range,Humidity_Range,Season,Severity,Treatment,Prevention
Tomato,Early Blight,Brown spots with concentric rings on leaves,24-29,80-90,Monsoon,Moderate,Apply chlorothalonil or copper-based fungicide,Crop rotation and proper spacing
Tomato,Late Blight,Water-soaked lesions on leaves and stems,18-24,90-100,Monsoon,High,Apply mancozeb or metalaxyl fungicide,Remove infected plants immediately
Tomato,Leaf Mold,Yellow patches on upper leaf surface,22-26,85-95,Monsoon,Moderate,Improve air circulation and apply fungicide,Maintain proper ventilation
Tomato,Bacterial Spot,Small dark spots on leaves and fruits,25-30,75-90,Summer,Moderate,Apply copper-based bactericide,Use disease-free seeds
Tomato,Septoria Leaf Spot,Circular spots with gray center on leaves,20-25,80-90,Monsoon,Moderate,Remove infected leaves and apply fungicide,Avoid overhead irrigation
Tomato,Mosaic Virus,Mottled light and dark green on leaves,22-30,60-80,All Seasons,High,Remove infected plants,Control aphids and use resistant varieties
Tomato,Yellow Leaf Curl,Upward curling and yellowing of leaves,25-35,50-70,Summer,High,Control whiteflies with insecticides,Use resistant varieties
Potato,Early Blight,Dark brown spots on older leaves,24-29,80-90,Monsoon,Moderate,Apply mancozeb or chlorothalonil,Crop rotation
Potato,Late Blight,Dark water-soaked lesions on leaves,15-22,90-100,Monsoon,High,Apply metalaxyl or mancozeb,Destroy infected tubers
Potato,Black Scurf,Black sclerotia on tuber surface,15-24,70-85,Winter,Low,Use treated seed potatoes,Proper storage conditions
Rice,Blast,Diamond-shaped lesions on leaves,25-28,85-95,Monsoon,High,Apply tricyclazole or isoprothiolane,Use resistant varieties
Rice,Bacterial Blight,Water-soaked to yellowish stripes on leaves,25-34,70-80,Monsoon,High,Apply copper oxychloride,Balanced fertilization
Rice,Sheath Blight,Oval lesions on leaf sheath,28-32,80-95,Monsoon,Moderate,Apply validamycin or hexaconazole,Proper water management
Rice,Brown Spot,Oval brown spots on leaves and glumes,25-30,80-90,Monsoon,Moderate,Apply mancozeb or propiconazole,Use disease-free seeds
Wheat,Rust,Orange-red pustules on leaves,15-22,60-80,Winter,High,Apply propiconazole or tebuconazole,Early sowing of resistant varieties
Wheat,Powdery Mildew,White powdery growth on leaves,15-20,70-90,Winter,Moderate,Apply sulfur or triadimefon,Avoid excess nitrogen
Wheat,Loose Smut,Black powdery spore masses in place of grain,20-27,65-75,Winter,Moderate,Seed treatment with carboxin,Use disease-free seeds
Wheat,Flag Smut,Black stripes on leaves and stems,15-25,60-80,Winter,Low,Seed treatment with vitavax,Crop rotation
Maize,Turcicum Blight,Long elliptical lesions on leaves,18-27,90-100,Monsoon,High,Apply mancozeb or propiconazole,Use resistant hybrids
Maize,Maydis Blight,Rectangular tan lesions on leaves,20-30,80-95,Monsoon,Moderate,Apply fungicide and remove infected debris,Crop rotation
Maize,Common Rust,Reddish-brown pustules on both leaf surfaces,16-23,85-95,Monsoon,Moderate,Apply propiconazole or azoxystrobin,Use resistant varieties
Maize,Gray Leaf Spot,Rectangular gray lesions on leaves,22-30,90-100,Monsoon,High,Apply fungicide at early stage,Crop residue management
Cotton,Bacterial Blight,Angular water-soaked spots on leaves,25-30,80-90,Monsoon,High,Apply copper oxychloride,Use disease-free seeds
Cotton,Fusarium Wilt,Yellowing and wilting of leaves,25-32,60-80,Summer,High,No effective chemical control,Use resistant varieties and soil treatment
Cotton,Alternaria Blight,Circular brown spots with concentric rings,25-30,75-90,Monsoon,Moderate,Apply mancozeb or chlorothalonil,Crop rotation and field sanitation
Cotton,Root Rot,Wilting and rotting of roots,28-35,70-85,Summer,High,Apply carbendazim to soil,Improve drainage and use treated seeds
Sugarcane,Red Rot,Red discoloration of internal tissues,28-35,80-95,Monsoon,High,Use disease-free setts and resistant varieties,Proper drainage
Sugarcane,Smut,Black whip-like structure from growing point,25-35,70-85,All Seasons,Moderate,Remove and burn whips,Use resistant varieties
Sugarcane,Wilt,Yellowing and drying of leaves,30-38,60-80,Summer,High,No chemical control,Use disease-free planting material
Sugarcane,Red Stripe,Long red stripes on leaves,25-30,75-90,Monsoon,Low,Remove infected leaves,Roguing of infected plants
Grape,Downy Mildew,Yellowish oily spots on upper leaf surface,20-25,85-100,Monsoon,High,Apply metalaxyl or mancozeb,Proper pruning and training
Grape,Powdery Mildew,White powdery growth on leaves and fruits,20-27,40-70,Summer,High,Apply sulfur or azoxystrobin,Proper canopy management
Grape,Anthracnose,Dark sunken lesions on berries,24-32,80-95,Monsoon,Moderate,Apply copper fungicide,Remove infected parts
Grape,Black Rot,Brown circular spots on leaves and fruits,20-27,85-95,Monsoon,High,Apply mancozeb or captan,Prune infected parts
